The Prime of Miss Jean Brodie	1969	1	2	no
True Grit	1969	1	2	no
Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein)	1969	1	1	no
Cactus Flower	1969	1	1	no
Czechoslovakia 1968	1969	1	1	no
It's Tough to Be a Bird	1969	1	1	no
Oliver!	1968	5 (1)	11	yes
The Lion in Winter	1968	3	7	no
Romeo and Juliet	1968	2	4	no
Funny Girl	1968	1	8	no
2001: A Space Odyssey	1968	1	4	no
Bullitt	1968	1	2	no
The Producers	1967	1	2	no
Rosemary's Baby	1968	1	2	no
The Subject Was Roses	1968	1	2	no
The Thomas Crown Affair	1968	1	2	no
War and Peace (Voyna i mir)	1968	1	2	no
Charly	1968	1	1	no
Journey into Self	1968	1	1	no
Robert Kennedy Remembered	1968	1	1	no
Why Man Creates	1968	1	1	no
Winnie the Pooh and the Blustery Day	1968	1	1	no
Planet of the Apes	1968	0 (1)	2	no
In the Heat of the Night	1967	5	7	yes
Camelot	1967	3	5	no
Bonnie and Clyde	1967	2	10	no
Guess Who's Coming to Dinner	1967	2	10	no
Doctor Dolittle	1967	2	9	no
The Graduate	1967	1	7	no
Thoroughly Modern Millie	1967	1	7	no
Cool Hand Luke	1967	1	4	no
The Dirty Dozen	1967	1	4	no
A Place to Stand	1967	1	2	no
The Anderson Platoon (La Section Anderson)	1967	1	1	no
The Box	1967	1	1	no
Closely Watched Trains (Ostre sledované vlaky)	1967	1	1	no
The Redwoods	1967	1	1	no
A Man for All Seasons	1966	6	8	yes
Who's Afraid of Virginia Woolf?	1966	5	13	no
Grand Prix	1966	3	3	no
Fantastic Voyage	1966	2	5	no
A Man and a Woman	1966	2	4	no
Born Free	1966	2	2	no
The Fortune Cookie	1966	1	4	no
A Funny Thing Happened on the Way to the Forum	1966	1	1	no
A Herb Alpert and the Tijuana Brass Double Feature	1966	1	1	no
The War Game	1966	1	1	no
Wild Wings	1966	1	1	no
A Year Toward Tomorrow	1966	1	1	no
The Sound of Music	1965	5	10	yes
Cat Ballou	1965	1	5	no
Darling	1965	3	5	no
A Thousand Clowns	1965	1	4	no
A Patch of Blue	1965	1	5	no
Doctor Zhivago	1965	5	10	no
The Shop on Main Street (Obchod na korze)	1965	1	2	no
The Sandpiper	1965	1	1	no
The Eleanor Roosevelt Story	1965	1	1	no
To Be Alive!	1965	1	1	no
7th Heaven	1927/28	3	5	no
20,000 Leagues Under the Sea	1954	2	3	no
Adventures of Don Juan	1949	1	2	no
The Adventures of Robin Hood	1938	3	4	no
The African Queen	1951	1	4	no
Air Force	1943	1	4	no
The Alamo	1960	1	7	no
The Alaskan Eskimo	1953	1	1	no
Albert Schweitzer	1957	1	1	no
Alexander's Ragtime Band	1938	1	6	no
All About Eve	1950	6	14	yes
All Quiet on the Western Front	1929/30	2	4	yes
The Devil and Daniel Webster	1941	1	2	no
